Time(s),Load Cell (Raw),Load Cell (Avg),Battery (Raw),Battery (Avg)
0.0,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
0.0001000020000400008,0.0004148297643617599,0.0002865297077144961,9.189265176790547,9.189163187347217
0.0002000040000800016,0.0007438042690412622,0.0002865297077144961,9.189265176790547,9.189163187347217
0.0003000060001200024,0.0004148297643617599,0.0002865297077144961,9.188936178585866,9.189163187347217
0.0004000080001600032,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
0.000500010000200004,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
0.0006000120002400048,0.0004148297643617599,0.0002865297077144961,9.188936178585866,9.189163187347217
0.0007000140002800055,8.585526001141097e-05,0.0002865297077144961,9.189594174996598,9.189163187347217
0.0008000160003200064,8.585526001141097e-05,0.0002865297077144961,9.189594174996598,9.189163187347217
0.0009000180003600072,0.0004148297643617599,0.0002865297077144961,9.188936178585866,9.189163187347217
0.001000020000400008,8.585526001141097e-05,0.0002865297077144961,9.188936178585866,9.189163187347217
0.0011000220004400087,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
0.0012000240004800095,0.0004148297643617599,0.0002865297077144961,9.188936178585866,9.189163187347217
0.0013000260005200104,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
0.001400028000560011,8.585526001141097e-05,0.0002865297077144961,9.189594174996598,9.189163187347217
0.0015000300006000119,8.585526001141097e-05,0.0002865297077144961,9.189594174996598,9.189163187347217
0.0016000320006400127,-0.00024311924400979845,0.0002865297077144961,9.189265176790547,9.189163187347217
0.0017000340006800136,0.0004148297643617599,0.0002865297077144961,9.188936178585866,9.189163187347217
0.0018000360007200144,0.0004148297643617599,0.0002865297077144961,9.188936178585866,9.189163187347217
0.001900038000760015,8.585526001141097e-05,0.0002865297077144961,9.189594174996598,9.189163187347217
0.002000040000800016,8.585526001141097e-05,0.0002865297077144961,9.189923173204015,9.189163187347217
0.0021000420008400167,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
0.0022000440008800174,0.0004148297643617599,0.0002865297077144961,9.189265176790547,9.189163187347217
0.0023000460009200184,0.0004148297643617599,0.0002865297077144961,9.189265176790547,9.189163187347217
0.002400048000960019,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
0.0025000500010000197,0.0004148297643617599,0.0002865297077144961,9.189265176790547,9.189163187347217
0.0026000520010400208,0.0004148297643617599,0.0002865297077144961,9.188936178585866,9.189163187347217
0.0027000540010800214,8.585526001141097e-05,0.0002865297077144961,9.188936178585866,9.189163187347217
0.002800056001120022,8.585526001141097e-05,0.0002865297077144961,9.188936178585866,9.189163187347217
0.002900058001160023,8.585526001141097e-05,0.0002865297077144961,9.189594174996598,9.189163187347217
0.0030000600012000237,0.0004148297643617599,0.0002865297077144961,9.188936178585866,9.189163187347217
0.003100062001240025,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
0.0032000640012800254,0.0004148297643617599,0.0002865297077144961,9.188936178585866,9.189163187347217
0.003300066001320026,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
0.003400068001360027,0.0004148297643617599,0.0002865297077144961,9.188936178585866,9.189163187347217
0.0035000700014000278,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
0.003600072001440029,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
0.0037000740014800295,0.0004148297643617599,0.0002865297077144961,9.189265176790547,9.189163187347217
0.00380007600152003,0.0007438042690412622,0.0002865297077144961,9.188936178585866,9.189163187347217
0.003900078001560031,8.585526001141097e-05,0.0002865297077144961,9.188936178585866,9.189163187347217
0.004000080001600032,8.585526001141097e-05,0.0002865297077144961,9.188936178585866,9.189163187347217
0.004100082001640032,-0.00024311924400979845,0.0002865297077144961,9.188936178585866,9.189163187347217
0.0042000840016800335,0.0004148297643617599,0.0002865297077144961,9.189265176790547,9.189163187347217
0.0043000860017200345,0.0004148297643617599,0.0002865297077144961,9.188936178585866,9.189163187347217
0.004400088001760035,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
0.004500090001800036,0.0004148297643617599,0.0002865297077144961,9.189265176790547,9.189163187347217
0.004600092001840037,8.585526001141097e-05,0.0002865297077144961,9.188936178585866,9.189163187347217
0.004700094001880037,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
0.004800096001920038,0.0007438042690412622,0.0002865297077144961,9.189265176790547,9.189163187347217
0.004900098001960039,0.0004148297643617599,0.0002865297077144961,9.188936178585866,9.189163187347217
0.005000100002000039,0.0004148297643617599,0.0002865297077144961,9.189265176790547,9.189163187347217
0.0051001020020400405,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
0.0052001040020800415,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
0.005300106002120042,0.0007438042690412622,0.0002865297077144961,9.189265176790547,9.189163187347217
0.005400108002160043,8.585526001141097e-05,0.0002865297077144961,9.189265176790547,9.189163187347217
