Time(s),Load Cell
0.0,1.2581901033294207e-05
1.000002000004e-05,-7.163761192010166e-06
2.000004000008e-05,1.916378845520715e-05
3.0000060000120002e-05,-7.163761192010166e-06
4.000008000016e-05,-5.818737903136913e-07
5.0000100000200004e-05,-5.818737903136913e-07
6.0000120000240005e-05,6.000013618120666e-06
7.000014000028e-05,6.000013618120666e-06
8.000016000032e-05,6.000013618120666e-06
9.000018000036001e-05,1.2581901033294207e-05
0.00010000020000040001,6.000013618120666e-06
0.00011000022000044,6.000013618120666e-06
0.00012000024000048001,-5.818737903136913e-07
0.00013000026000052002,2.5745675883860576e-05
0.00014000028000056,1.916378845520715e-05
0.0001500003000006,6.000013618120666e-06
0.00016000032000064,1.916378845520715e-05
0.00017000034000068002,-7.163761192010166e-06
0.00018000036000072003,-7.163761192010166e-06
0.00019000038000076,-5.818737903136913e-07
0.00020000040000080002,-7.163761192010166e-06
0.00021000042000084002,6.000013618120666e-06
0.00022000044000088,1.2581901033294207e-05
0.00023000046000092,1.916378845520715e-05
0.00024000048000096002,1.916378845520715e-05
0.000250000500001,6.000013618120666e-06
0.00026000052000104003,1.916378845520715e-05
0.00027000054000108004,6.000013618120666e-06
0.00028000056000112,1.916378845520715e-05
0.00029000058000116,2.5745675883860576e-05
0.0003000006000012,6.000013618120666e-06
0.00031000062000124,1.2581901033294207e-05
0.00032000064000128,3.232756331925514e-05
0.00033000066000132003,1.2581901033294207e-05
0.00034000068000136004,3.8909450761391486e-05
0.00035000070000140005,1.916378845520715e-05
0.00036000072000144006,-5.818737903136913e-07
0.00037000074000148,-5.818737903136913e-07
0.00038000076000152,1.2581901033294207e-05
0.00039000078000156,6.000013618120666e-06
0.00040000080000160003,2.5745675883860576e-05
0.00041000082000164004,1.916378845520715e-05
0.00042000084000168005,6.000013618120666e-06
0.00043000086000172006,6.000013618120666e-06
0.00044000088000176,-7.163761192010166e-06
0.0004500009000018,6.000013618120666e-06
0.00046000092000184,-7.163761192010166e-06
0.00047000094000188003,1.916378845520715e-05
0.00048000096000192004,-2.0327535975191418e-05
0.00049000098000196,2.5745675883860576e-05
0.000500001000002,1.916378845520715e-05
0.00051000102000204,1.2581901033294207e-05
0.0005200010400020801,6.000013618120666e-06
0.00053000106000212,1.2581901033294207e-05
0.0005400010800021601,1.2581901033294207e-05
0.0005500011000022,6.000013618120666e-06
0.00056000112000224,6.000013618120666e-06
0.00057000114000228,2.5745675883860576e-05
0.00058000116000232,6.000013618120666e-06
0.0005900011800023601,1.2581901033294207e-05
0.0006000012000024,-5.818737903136913e-07
0.0006100012200024401,2.5745675883860576e-05
0.00062000124000248,6.000013618120666e-06
0.0006300012600025201,1.2581901033294207e-05
0.00064000128000256,1.916378845520715e-05
0.0006500013000026,2.5745675883860576e-05
0.0006600013200026401,6.000013618120666e-06
0.00067000134000268,-5.818737903136913e-07
0.0006800013600027201,1.2581901033294207e-05
0.00069000138000276,2.5745675883860576e-05
0.0007000014000028001,1.2581901033294207e-05
0.00071000142000284,1.916378845520715e-05
0.0007200014400028801,-5.818737903136913e-07
0.0007300014600029201,1.2581901033294207e-05
0.00074000148000296,6.000013618120666e-06
0.0007500015000030001,1.916378845520715e-05
0.00076000152000304,1.2581901033294207e-05
0.0007700015400030801,2.5745675883860576e-05
0.00078000156000312,-5.818737903136913e-07
0.0007900015800031601,6.000013618120666e-06
0.0008000016000032001,1.2581901033294207e-05
0.00081000162000324,1.916378845520715e-05
0.0008200016400032801,1.916378845520715e-05
0.00083000166000332,-1.3745648586969191e-05
0.0008400016800033601,3.232756331925514e-05
0.0008500017000034,2.5745675883860576e-05
0.0008600017200034401,5.207322566589301e-05
0.0008700017400034801,3.8909450761391486e-05
0.00088000176000352,1.2581901033294207e-05
0.0008900017800035601,-5.818737903136913e-07
0.0009000018000036,1.2581901033294207e-05
0.0009100018200036401,6.000013618120666e-06
0.00092000184000368,1.2581901033294207e-05
0.0009300018600037201,1.2581901033294207e-05
0.0009400018800037601,2.5745675883860576e-05
0.0009500019000038001,3.8909450761391486e-05
0.0009600019200038401,1.2581901033294207e-05
0.00097000194000388,-7.163761192010166e-06
0.00098000196000392,6.000013618120666e-06
0.00099000198000396,1.2581901033294207e-05
