timestamps,Load Cell
2025-12-05 03:01:12.379932300,0.00011789210059316496
2025-12-05 03:01:12.380032300,-2.6909423356677713e-05
2025-12-05 03:01:12.380132300,6.000013618120666e-06
2025-12-05 03:01:12.380232300,-3.3491310731428945e-05
2025-12-05 03:01:12.380332300,0.00012447398812301348
2025-12-05 03:01:12.380432300,-0.00013221962054498285
2025-12-05 03:01:13.249992,-4.665508546072882e-05
2025-12-05 03:01:13.250092,6.000013618120666e-06
2025-12-05 03:01:13.250192,0.0001113102130700682
2025-12-05 03:01:13.250292,-9.272829680123012e-05
2025-12-05 03:01:13.250392,-0.0001651290568132134
2025-12-05 03:01:13.250492,-6.640074750418343e-05
2025-12-05 03:01:13.250592,2.5745675883860576e-05
2025-12-05 03:01:13.250692,3.232756331925514e-05
2025-12-05 03:01:13.250792,7.181888807322777e-05
2025-12-05 03:01:13.250892,-9.931018410867039e-05
2025-12-05 03:01:13.250992,-7.163761192010166e-06
2025-12-05 03:01:13.251092,7.840077555583088e-05
2025-12-05 03:01:13.251192,6.523700059737078e-05
2025-12-05 03:01:13.251292,-4.665508546072882e-05
2025-12-05 03:01:13.251392,-0.00015196528232608504
2025-12-05 03:01:13.251492,-1.3745648586969191e-05
2025-12-05 03:01:13.251592,7.840077555583088e-05
2025-12-05 03:01:13.251692,-3.3491310731428945e-05
2025-12-05 03:01:13.251792,5.8655113128259486e-05
2025-12-05 03:01:13.251892,0.00014421965075307524
2025-12-05 03:01:13.251992,-0.00011247395870337112
2025-12-05 03:01:13.252092,8.49826630451812e-05
2025-12-05 03:01:13.252192,8.49826630451812e-05
2025-12-05 03:01:13.252292,3.8909450761391486e-05
2025-12-05 03:01:13.252392,-0.00024411170317175063
2025-12-05 03:01:13.252492,-0.00015196528232608504
2025-12-05 03:01:13.252592,0.00021003852662577127
2025-12-05 03:01:13.252692,0.0001902928637929958
2025-12-05 03:01:13.252792,-0.00017829283127346373
2025-12-05 03:01:13.252892,9.814643804412606e-05
2025-12-05 03:01:13.252992,8.49826630451812e-05
2025-12-05 03:01:13.253092,-4.665508546072882e-05
2025-12-05 03:01:13.253192,-0.00039549510599235535
2025-12-05 03:01:13.253292,-2.6909423356677713e-05
2025-12-05 03:01:13.253392,-0.00017829283127346373
2025-12-05 03:01:13.253492,5.8655113128259486e-05
2025-12-05 03:01:13.253592,-4.007319809944576e-05
2025-12-05 03:01:13.253692,2.5745675883860576e-05
2025-12-05 03:01:13.253792,3.232756331925514e-05
2025-12-05 03:01:13.253892,1.916378845520715e-05
2025-12-05 03:01:13.253992,1.2581901033294207e-05
2025-12-05 03:01:13.254092,-1.3745648586969191e-05
2025-12-05 03:01:13.254192,-7.163761192010166e-06
2025-12-05 03:01:13.254292,2.5745675883860576e-05
2025-12-05 03:01:13.254392,-5.818737903136913e-07
2025-12-05 03:01:13.254492,5.8655113128259486e-05
2025-12-05 03:01:13.254592,3.8909450761391486e-05
2025-12-05 03:01:13.254692,1.2581901033294207e-05
2025-12-05 03:01:13.254792,5.207322566589301e-05
2025-12-05 03:01:13.254892,-2.6909423356677713e-05
2025-12-05 03:01:13.254992,5.207322566589301e-05
2025-12-05 03:01:13.255092,3.8909450761391486e-05
2025-12-05 03:01:13.255192,8.49826630451812e-05
2025-12-05 03:01:13.255292,3.232756331925514e-05
2025-12-05 03:01:13.255392,3.232756331925514e-05
2025-12-05 03:01:13.255492,4.549133821027049e-05
2025-12-05 03:01:13.255592,7.181888807322777e-05
2025-12-05 03:01:13.255692,3.232756331925514e-05
2025-12-05 03:01:13.255792,1.2581901033294207e-05
2025-12-05 03:01:13.255892,2.5745675883860576e-05
2025-12-05 03:01:13.255992,1.916378845520715e-05
2025-12-05 03:01:13.256092,-5.818737903136913e-07
2025-12-05 03:01:13.256192,1.916378845520715e-05
2025-12-05 03:01:13.256292,3.232756331925514e-05
2025-12-05 03:01:13.256392,1.916378845520715e-05
2025-12-05 03:01:13.256492,5.8655113128259486e-05
2025-12-05 03:01:13.256592,5.8655113128259486e-05
2025-12-05 03:01:13.256692,-1.3745648586969191e-05
2025-12-05 03:01:13.256792,5.8655113128259486e-05
2025-12-05 03:01:13.256892,-5.818737903136913e-07
2025-12-05 03:01:13.256992,3.8909450761391486e-05
2025-12-05 03:01:13.257092,5.8655113128259486e-05
2025-12-05 03:01:13.257192,5.207322566589301e-05
2025-12-05 03:01:13.257292,-4.665508546072882e-05
2025-12-05 03:01:13.257392,0.00016396531344392768
2025-12-05 03:01:13.257492,0.00010472832555372211
2025-12-05 03:01:13.257592,0.00022978418951940442
2025-12-05 03:01:13.257692,3.8909450761391486e-05
2025-12-05 03:01:13.257792,-0.00013880150781207237
2025-12-05 03:01:13.257892,-3.3491310731428945e-05
2025-12-05 03:01:13.257992,0.00022320230188143015
2025-12-05 03:01:13.258092,9.814643804412606e-05
2025-12-05 03:01:13.258192,-7.956452216616519e-05
2025-12-05 03:01:13.258292,-2.6909423356677713e-05
2025-12-05 03:01:13.258392,4.549133821027049e-05
2025-12-05 03:01:13.258492,0.00018371097619559096
2025-12-05 03:01:13.258592,0.00010472832555372211
2025-12-05 03:01:13.258692,-7.163761192010166e-06
2025-12-05 03:01:13.258792,-5.818737903136913e-07
2025-12-05 03:01:13.258892,6.523700059737078e-05
2025-12-05 03:01:13.258992,7.840077555583088e-05
2025-12-05 03:01:13.259092,1.2581901033294207e-05
2025-12-05 03:01:13.259192,8.49826630451812e-05
2025-12-05 03:01:13.259292,0.00021662041425021936
2025-12-05 03:01:13.259392,-0.00012563773327116975
2025-12-05 03:01:13.259492,9.156455054127937e-05
2025-12-05 03:01:13.259592,5.8655113128259486e-05
2025-12-05 03:01:13.259692,6.523700059737078e-05
2025-12-05 03:01:13.259792,-0.00010589207140938384
2025-12-05 03:01:13.259892,0.0001113102130700682
2025-12-05 03:01:13.259992,7.181888807322777e-05
2025-12-05 03:01:13.260092,0.0002561117401389506
2025-12-05 03:01:13.260192,0.00013105587565961409
2025-12-05 03:01:13.260292,0.0002495298524739151
2025-12-05 03:01:13.260392,-0.00021120226730653624
2025-12-05 03:01:13.260492,0.0001968747513971602
2025-12-05 03:01:13.260592,0.00016396531344392768
2025-12-05 03:01:13.260692,-2.0327535975191418e-05
2025-12-05 03:01:13.260792,-0.00038233133197473554
2025-12-05 03:01:13.260892,3.8909450761391486e-05
2025-12-05 03:01:13.260992,0.0002890211785656503
2025-12-05 03:01:13.261092,0.00011789210059316496
2025-12-05 03:01:13.261192,0.00010472832555372211
2025-12-05 03:01:13.261292,0.00017054720102105782
2025-12-05 03:01:13.261392,0.0001573834258735545
2025-12-05 03:01:13.261492,0.0002890211785656503
2025-12-05 03:01:13.261592,-1.3745648586969191e-05
2025-12-05 03:01:13.261692,-0.00029676680020718
2025-12-05 03:01:13.261792,-2.6909423356677713e-05
2025-12-05 03:01:13.261892,0.00014421965075307524
2025-12-05 03:01:13.261992,0.0001113102130700682
2025-12-05 03:01:13.262092,-3.3491310731428945e-05
2025-12-05 03:01:13.262192,-7.163761192010166e-06
2025-12-05 03:01:13.262292,9.156455054127937e-05
2025-12-05 03:01:13.262392,3.232756331925514e-05
2025-12-05 03:01:13.262492,-5.818737903136913e-07
2025-12-05 03:01:13.262592,2.5745675883860576e-05
2025-12-05 03:01:13.262692,-5.818737903136913e-07
2025-12-05 03:01:13.262792,3.8909450761391486e-05
2025-12-05 03:01:13.262892,-5.818737903136913e-07
2025-12-05 03:01:13.262992,-5.818737903136913e-07
2025-12-05 03:01:13.263092,-7.163761192010166e-06
2025-12-05 03:01:13.263192,6.000013618120666e-06
2025-12-05 03:01:13.263292,-6.640074750418343e-05
2025-12-05 03:01:13.263392,-5.818737903136913e-07
2025-12-05 03:01:13.263492,-5.323697281527898e-05
2025-12-05 03:01:13.263592,-5.818737903136913e-07
2025-12-05 03:01:13.263692,-7.163761192010166e-06
2025-12-05 03:01:13.263792,6.000013618120666e-06
2025-12-05 03:01:13.263892,-4.007319809944576e-05
2025-12-05 03:01:13.263992,-2.0327535975191418e-05
2025-12-05 03:01:13.264092,-2.6909423356677713e-05
2025-12-05 03:01:13.264192,1.2581901033294207e-05
2025-12-05 03:01:13.264292,-2.6909423356677713e-05
2025-12-05 03:01:13.264392,-5.818737903136913e-07
2025-12-05 03:01:13.264492,-2.6909423356677713e-05
2025-12-05 03:01:13.264592,-3.3491310731428945e-05
2025-12-05 03:01:13.264692,-2.6909423356677713e-05
2025-12-05 03:01:13.264792,1.2581901033294207e-05
2025-12-05 03:01:13.264892,-1.3745648586969191e-05
2025-12-05 03:01:13.264992,-2.6909423356677713e-05
2025-12-05 03:01:13.265092,-2.0327535975191418e-05
2025-12-05 03:01:13.265192,-2.6909423356677713e-05
2025-12-05 03:01:13.265292,-2.6909423356677713e-05
2025-12-05 03:01:13.265392,-3.3491310731428945e-05
2025-12-05 03:01:13.265492,-3.3491310731428945e-05
2025-12-05 03:01:13.265592,-5.323697281527898e-05
2025-12-05 03:01:13.265692,4.549133821027049e-05
2025-12-05 03:01:13.265792,-4.007319809944576e-05
2025-12-05 03:01:13.265892,1.916378845520715e-05
2025-12-05 03:01:13.265992,-5.323697281527898e-05
2025-12-05 03:01:13.266092,-2.0327535975191418e-05
2025-12-05 03:01:13.266192,-7.956452216616519e-05
2025-12-05 03:01:13.266292,-7.163761192010166e-06
2025-12-05 03:01:13.266392,-0.00017171094404669785
2025-12-05 03:01:13.266492,-5.981886016309711e-05
2025-12-05 03:01:13.266592,-0.00010589207140938384
2025-12-05 03:01:13.266692,1.916378845520715e-05
2025-12-05 03:01:13.266792,-4.007319809944576e-05
2025-12-05 03:01:13.266892,5.207322566589301e-05
2025-12-05 03:01:13.266992,-0.00011905584599063287
2025-12-05 03:01:13.267092,-3.3491310731428945e-05
2025-12-05 03:01:13.267192,-5.323697281527898e-05
2025-12-05 03:01:13.267292,1.916378845520715e-05
2025-12-05 03:01:13.267392,-7.956452216616519e-05
2025-12-05 03:01:13.267492,-4.007319809944576e-05
2025-12-05 03:01:13.267592,-0.00014538339507243962
2025-12-05 03:01:13.267692,-0.00013221962054498285
2025-12-05 03:01:13.267792,5.207322566589301e-05
2025-12-05 03:01:13.267892,6.523700059737078e-05
2025-12-05 03:01:13.267992,-7.298263483853924e-05
2025-12-05 03:01:13.268092,-0.0002243660416727598
2025-12-05 03:01:13.268192,3.232756331925514e-05
2025-12-05 03:01:13.268292,9.814643804412606e-05
