"Load Cell","timestamp"
0.013184754800874028,"2025-12-05T06:23:35.279791900Z"
0.013211081150288824,"2025-12-05T06:23:35.279891900Z"
0.013178173213543047,"2025-12-05T06:23:35.279991900Z"
0.01320449956292149,"2025-12-05T06:23:35.280091900Z"
0.013197917975563248,"2025-12-05T06:23:35.280191900Z"
0.013224244325050764,"2025-12-05T06:23:35.280291900Z"
0.013191336388214093,"2025-12-05T06:23:35.280391900Z"
0.013217662737665248,"2025-12-05T06:23:35.280491900Z"
0.01320449956292149,"2025-12-05T06:23:35.280591900Z"
0.013197917975563248,"2025-12-05T06:23:35.369224700Z"
0.013211081150288824,"2025-12-05T06:23:35.369324700Z"
0.013191336388214093,"2025-12-05T06:23:35.369424700Z"
0.013197917975563248,"2025-12-05T06:23:35.369524700Z"
0.013191336388214093,"2025-12-05T06:23:35.369624700Z"
0.013217662737665248,"2025-12-05T06:23:35.369724700Z"
0.013211081150288824,"2025-12-05T06:23:35.369824700Z"
0.013197917975563248,"2025-12-05T06:23:35.369924700Z"
0.013191336388214093,"2025-12-05T06:23:35.370024700Z"
0.01320449956292149,"2025-12-05T06:23:35.370124700Z"
0.013211081150288824,"2025-12-05T06:23:35.370224700Z"
0.013197917975563248,"2025-12-05T06:23:35.370324700Z"
0.013197917975563248,"2025-12-05T06:23:35.370424700Z"
0.013197917975563248,"2025-12-05T06:23:35.370524700Z"
0.01320449956292149,"2025-12-05T06:23:35.370624700Z"
0.013197917975563248,"2025-12-05T06:23:35.370724700Z"
0.01320449956292149,"2025-12-05T06:23:35.370824700Z"
0.01320449956292149,"2025-12-05T06:23:35.370924700Z"
0.013178173213543047,"2025-12-05T06:23:35.371024700Z"
0.013191336388214093,"2025-12-05T06:23:35.371124700Z"
0.013211081150288824,"2025-12-05T06:23:35.371224700Z"
0.013217662737665248,"2025-12-05T06:23:35.371324700Z"
0.013191336388214093,"2025-12-05T06:23:35.371424700Z"
0.013197917975563248,"2025-12-05T06:23:35.371524700Z"
0.013211081150288824,"2025-12-05T06:23:35.371624700Z"
0.01320449956292149,"2025-12-05T06:23:35.371724700Z"
0.013211081150288824,"2025-12-05T06:23:35.371824700Z"
0.013171591626221156,"2025-12-05T06:23:35.371924700Z"
0.013191336388214093,"2025-12-05T06:23:35.372024700Z"
